ArtistAndTitle,Streams,Daily
The Weeknd - Blinding Lights,4297434813,1914133
Ed Sheeran - Shape of You,3918746202,1042245
Lewis Capaldi - Someone You Loved,3441950617,1615795
Post Malone - Sunflower,3373282054,1663595
Harry Styles - As It Was,3328502433,3266754
The Weeknd - Starboy,3307642948,1799877
Drake - One Dance,3205192870,1573581
The Kid LAROI - STAY,3121237658,
Tones And I - Dance Monkey,3076532398,614284
Imagine Dragons - Believer,3017873664,1294031
Glass Animals - Heat Waves,3011043708,1680510
Ed Sheeran - Perfect,2980490428,1151740
Post Malone - rockstar,2966165489,707646
The Neighbourhood - Sweater Weather,2940345447,2711122
The Chainsmokers - Closer,2890429010,1108245
James Arthur - Say You Won't Let Go,2845046651,1511564
Billie Eilish - lovely,2838952919,1373205
Shawn Mendes - Señorita,2745321980,818297
Harry Styles - Watermelon Sugar,2722219852,1797201
Dua Lipa - Don't Start Now,2617746118,1288610
The Chainsmokers - Something Just Like This,2612652041,1745718
Vance Joy - Riptide,2562916852,2334459
Hozier - Take Me to Church,2557645348,1464186
Juice WRLD - Lucid Dreams,2555398175,771269
Drake - God's Plan,2535990261,687006
Ed Sheeran - Photograph,2532591666,816147
Billie Eilish - bad guy,2522563398,688128
Ed Sheeran - Thinking out Loud,2508732280,664201
Queen - Bohemian Rhapsody,2500458540,926124
Post Malone - Circles,2491173449,1192677
OneRepublic - Counting Stars,2479668310,1510577
Tom Odell - Another Love,2462362017,1951197
Lady Gaga - Shallow,2456085210,915072
Justin Bieber - Love Yourself,2431363534,865180
Macklemore & Ryan Lewis - Can't Hold Us,2412844547,1617642
Travis Scott - goosebumps,2408563244,1318456
Unknown - Can't Hold Us,2408118765,1486749
Imagine Dragons - Thunder,2394187989,1086441
John Legend - All of Me,2389813808,814665
Avicii - Wake Me Up,2336213545,1334731
Coldplay - Yellow,2326287553,2359993
Twenty One Pilots - Stressed Out,2321648255,933943
The Weeknd - The Hills,2315583189,983642
Imagine Dragons - Demons,2282802660,1335755
