Artist,Count
2Pac,5
50 Cent,6
ABBA,3
AC/DC,5
Adele,14
Aerosmith,2
Al Green,2
Alicia Keys,4
Amy Winehouse,3
Aretha Franklin,8
BTS,10
Backstreet Boys,2
Bad Bunny,37
Bee Gees,3
Ben E. King,1
Beyoncé,11
Bill Withers,6
Billie Eilish,25
Billy Joel,4
Black Sabbath,4
Blackstreet,1
Blondie,2
Blue Öyster Cult,1
Bon Jovi,4
Boston,1
Britney Spears,10
Bruce Springsteen,5
Cardi B,6
Carly Rae Jepsen,2
Carly Simon,1
Cher,1
Childish Gambino,5
Chuck Berry,3
Coldplay,12
Cyndi Lauper,2
DMX,1
Daddy Yankee,6
Daft Punk,4
David Bowie,12
Depeche Mode,1
Destiny's Child,2
Dolly Parton,4
Don Henley,1
Dr. Dre,3
Drake,99
Dusty Springfield,1
Eagles,2
"Earth, Wind & Fire",2
Elton John,24
Elvis Presley,2
Eminem,38
Etta James,1
Fall Out Boy,5
Fleetwood Mac,15
Foo Fighters,4
Four Tops,1
Frank Ocean,8
George Michael,2
Gnarls Barkley,1
Green Day,7
Guns N' Roses,6
Harry Styles,12
Ice Cube,2
Jimi Hendrix,3
John Lennon,2
Johnny Cash,2
Journey,1
Kanye West,38
Kate Bush,1
Kelly Clarkson,4
Kendrick Lamar,13
Lady Gaga,13
Lana Del Rey,13
Led Zeppelin,9
Lil Nas X,6
Lil Wayne,6
Lizzo,4
Lorde,4
Louis Armstrong,1
Lynyrd Skynyrd,2
M.I.A.,1
Mariah Carey,2
Mark Ronson,3
Marvin Gaye,4
Mary J. Blige,1
Metallica,12
Michael Jackson,18
Migos,5
Mobb Deep,1
Nicki Minaj,4
Nirvana,8
Oasis,2
Otis Redding,2
Outkast,6
Paul Simon,1
Pearl Jam,2
Phil Collins,2
Pink Floyd,8
Pixies,1
Queen,11
R.E.M.,3
Radiohead,9
Red Hot Chili Peppers,8
Rihanna,19
Roy Orbison,1
Sam Cooke,1
Simon & Garfunkel,2
Soundgarden,1
Stevie Wonder,8
TLC,2
Talking Heads,2
Taylor Swift,78
The Animals,1
The Beach Boys,2
The Beatles,72
The Clash,2
The Cure,4
The Doobie Brothers,1
The Killers,4
The Notorious B.I.G.,8
The Police,3
The Righteous Brothers,1
The Rolling Stones,25
The Ronettes,1
The Smiths,4
The Strokes,2
The Temptations,2
The Weeknd,24
The White Stripes,1
The Who,3
Tina Turner,1
Tom Petty,2
Tracy Chapman,1
U2,12
Van Halen,1
Van Morrison,1
Weezer,2
Whitney Houston,4
