,Rank,Song,Artist_x,Year,Artist_y,Count
0,500,Stronger,Kanye West,2007,Kanye West,1
1,497,Truth Hurts,Lizzo,2017,Lizzo,1
2,496,Without You,Harry Nilsson,1971,Avicii,1
3,495,You're So Vain,Carly Simon,1972,Carly Simon,1
4,494,Time After Time,Cyndi Lauper,1983,Cyndi Lauper,1
5,492,So What,Miles Davis,1959,P!nk,1
6,490,Old Town Road,Lil Nas X,2019,Lil Nas X,1
7,486,A Milli,Lil Wayne,2009,Lil Wayne,1
8,482,Bad Romance,Lady Gaga,2009,Lady Gaga,1
9,467,Come As You Are,Nirvana,1991,Nirvana,1
10,465,Get Lucky,Daft Punk,2013,Daft Punk,1
11,456,Summertime Sadness,Lana Del Rey,2012,Lana Del Rey,1
12,454,Bam Bam,Sister Nancy,1982,Camila Cabello,1
13,452,Africa,Toto,1982,TOTO,1
14,451,Bad and Boujee,Migos,2016,Migos,1
15,449,(Don't Fear) The Reaper,Blue Öyster Cult,1976,Blue Öyster Cult,1
16,444,In Da Club,50 Cent,2003,50 Cent,1
17,443,"Sugar, We're Goin Down",Fall Out Boy,2005,Fall Out Boy,1
18,440,If I Ain't Got You,Alicia Keys,2003,Alicia Keys,1
19,436,Call Me Maybe,Carly Rae Jepsen,2012,Carly Rae Jepsen,1
20,429,Under Pressure,Queen and David Bowie,1981,Queen,1
21,428,Sign of the Times,Harry Styles,2017,Harry Styles,1
22,426,Super Bass,Nicki Minaj,2010,Nicki Minaj,1
23,424,No Diggity,Blackstreet,1996,Blackstreet,1
24,423,Criminal,Fiona Apple,1996,NATTI NATASHA,1
25,420,California Dreamin',The Mamas & the Papas,1965,The Mamas & The Papas,1
26,417,Uptown Funk,Mark Ronson,2015,Mark Ronson,1
27,416,Alive,Pearl Jam,1991,Pearl Jam,1
28,415,Enjoy the Silence,Depeche Mode,1990,Depeche Mode,1
29,409,Everlong,Foo Fighters,1997,Foo Fighters,1
30,407,Free Bird,Lynyrd Skynyrd,1973,Lynyrd Skynyrd,1
